snames,year,nia_sw,nia_gw,nia_others,tnia,tgia
Chattisgarh,1958,6.79126117,0.42449044,0.58223127,4.37010905,4.13249487
Chattisgarh,1959,6.93999209,0.44969575,0.5626198,4.48888129,4.20916454
Chattisgarh,1960,7.02753624,0.46283806,0.6214542,4.60541255,4.29043438
Chattisgarh,1961,7.11366839,0.46677441,0.61585092,4.64705754,4.36403726
Chattisgarh,1962,7.34853147,0.48563077,0.61203051,4.79290837,4.51584319
Chattisgarh,1963,7.35229681,0.49420185,0.63240605,4.83455335,4.55571142
Chattisgarh,1964,7.53209179,0.51267728,0.64233913,4.96751851,4.70751735
Chattisgarh,1965,7.16167648,0.54937418,0.6303685,4.91971081,4.73818521
Chattisgarh,1966,7.37583019,0.58378546,0.51983115,5.0248504,5.01112922
Chattisgarh,1967,7.40642357,0.57845234,0.59751293,5.07826056,5.09239906
Chattisgarh,1968,7.44501831,0.68574951,0.60871948,5.41739641,5.44047933
Chattisgarh,1969,7.843203,0.70962154,0.60005987,5.639254,5.66895493
Chattisgarh,1970,7.9778139,0.75469904,0.57713738,5.80844843,5.85602891
Chattisgarh,1971,7.93027648,0.7796504,0.61559623,5.89117815,5.89283035
Chattisgarh,1972,7.82014029,0.82307718,0.57433574,5.94496181,5.98790073
Chattisgarh,1973,7.98487391,0.84333031,0.5852876,6.07792697,6.17650811
Chattisgarh,1974,8.02864599,0.90339133,0.6168697,6.29511584,6.40038352
Chattisgarh,1975,8.36046657,0.91704156,0.6077007,6.4602018,6.64879323
Chattisgarh,1976,8.3599959,0.95786527,0.58579699,6.56403414,6.67792771
Chattisgarh,1977,8.69793516,0.98941953,0.63215136,6.82492223,7.0658762
Chattisgarh,1978,8.98315965,1.04306811,0.64794241,7.10747319,7.4078229
Chattisgarh,1979,8.59203497,1.13417546,0.61253989,7.19431139,7.5458283
Chattisgarh,1980,8.69511115,1.12344575,0.64972527,7.23091416,7.63323171
Chattisgarh,1981,9.09423718,1.18960175,0.62247297,7.5638873,7.88317482
Chattisgarh,1982,8.99963301,1.22833031,0.56618552,7.59899608,7.94757734
Chattisgarh,1983,9.55313798,1.23118734,0.57560921,7.83392609,8.25425599
Chattisgarh,1984,9.1257719,1.28045515,0.62501992,7.84531777,8.36910715
Chattisgarh,1985,8.91679554,1.29632751,0.63724525,7.81823919,8.32371871
Chattisgarh,1986,9.02363706,1.32197724,0.65583793,7.94971035,8.55004755
Chattisgarh,1987,8.67393111,1.37543536,0.7202756,8.01544594,8.595436
Chattisgarh,1988,9.43970711,1.45511461,0.71798335,8.55197529,9.28331622
Chattisgarh,1989,9.39264037,1.48882751,0.70193761,8.6205121,9.37485979
Chattisgarh,1990,9.60020473,1.56787187,0.74676381,8.9682384,9.69165884
Chattisgarh,1991,9.78141171,1.6530747,0.77630836,9.31260321,10.07132702
Chattisgarh,1992,9.49100987,1.70913588,0.81782353,9.39271846,10.23708683
Chattisgarh,1993,9.55831532,1.75205475,0.87487507,9.58749747,10.46602245
Chattisgarh,1994,9.67457019,1.83554337,0.89983511,9.89750051,10.83281012
Chattisgarh,1995,9.5253686,1.88544608,0.88302529,9.97276028,10.94106768
Chattisgarh,1996,9.38040301,2.01864693,0.86290443,10.29210076,11.6577757
Chattisgarh,1997,9.41052573,2.0387096,0.79108063,10.31040214,11.6031869
Chattisgarh,1998,9.46324049,2.15864116,0.84787747,10.726105,12.06320488
Chattisgarh,1999,9.40346572,2.19921092,0.74166993,10.74384614,12.0816056
Chattisgarh,2000,8.69699382,2.14708608,0.74090584,10.3094684,11.68246333
Chattisgarh,2001,8.18867293,2.23463803,1.10588284,10.6327306,12.01735642
Chattisgarh,2002,7.47608236,2.18111642,0.93167191,10.06520094,11.20220456
Chattisgarh,2003,7.70670943,2.31,1.09493098,10.6553272,11.96690778
Chattisgarh,2004,7.76601353,2.23425709,1.91988596,11.06094563,12.43244598
Chattisgarh,2005,8.84901942,2.29006431,1.51950645,11.36123773,12.92328517
Chattisgarh,2006,8.99210233,2.38974274,1.52791136,11.71736772,13.30264666
Chattisgarh,2007,8.81136602,2.43551863,1.55541835,11.80047094,13.50275449
Chattisgarh,2008,8.87773014,2.46059697,1.53325994,11.88432116,13.63125284
Chattisgarh,2009,7.79660692,2.43564561,1.78489795,11.56647468,13.04687667
Chattisgarh,2010,8.29457312,2.48700858,1.74822197,11.88824289,13.6369264
Chattisgarh,2011,8.43624403,2.57373516,1.84296826,12.26883697,14.07333012
Chattisgarh,2012,8.20138096,2.62249505,1.91937657,12.37509705,14.14493959
Chattisgarh,2013,8.52849486,2.69436511,1.92090473,12.71759438,14.68561406
